id,date,text,permalink,Brand,brand,polarity,sent,subjectivity
925483153032179712,2017-10-31 23:02,"Xiaomi Mi MIX 2 review: A phone for performance, pricing and design https://www.pridenews.co.za/2017/10/26/xiaomi-mi-mix-2-review-a-phone-for-performance-pricing-and-design/ …",https://twitter.com/pridenewsza/status/925483153032179712,Xiaomi,Xiaomi,0.0,neutral,0.0
925460014449401856,2017-10-31 21:30,Xiaomi is like Muslim of phones.. Every month new child and can blast themselves too..,https://twitter.com/akramismm/status/925460014449401856,Xiaomi,Xiaomi,0.13636363636363635,positive,0.4545454545454545
925424043699908608,2017-10-31 19:07,Got these two phones to review from Intertec. The Xiaomi A1 and Note 5A pic.twitter.com/ATkepS5Yq8,https://twitter.com/iloveqatar/status/925424043699908608,Xiaomi,Xiaomi,0.0,neutral,0.0
925354189936402432,2017-10-31 14:30,Xiaomi ships 10 million phones in October: Xiaomi shipped 10 million phones in September and it has repeated this… http://dlvr.it/PyVqZD pic.twitter.com/aR0oA04yL0,https://twitter.com/UniverSmartphon/status/925354189936402432,Xiaomi,Xiaomi,0.0,neutral,0.0
925347723167043584,2017-10-31 14:04,http://Israelopadeyi.com - Wealth And Tech Digest Xiaomi ships 10 million phones in October Xiaomi shipped 10 million ph... pic.twitter.com/MGShaynW2h,https://twitter.com/israelopadeyi/status/925347723167043584,Xiaomi,Xiaomi,0.0,neutral,0.0
925329922989604864,2017-10-31 12:53,"Still, by far the most beautiful phone I’ve ever seen this and the @ Xiaomi Mi Mix",https://twitter.com/AJHamadi/status/925329922989604864,Xiaomi,Xiaomi,0.4833333333333333,positive,0.8333333333333334
925319286649896961,2017-10-31 12:11,And the much awaited # Nokia2 is finally here. A low spec phone with a good battery life it says. Well why not stick to # xiaomi then.,https://twitter.com/Zayvk/status/925319286649896961,Xiaomi,Xiaomi,0.225,positive,0.525
925316294471241728,2017-10-31 11:59,"Nokia 2 Vs Xiaomi Redmi 4A: Price, specifications and features compared: The company says that the phone will… https://goo.gl/fb/CznWtK",https://twitter.com/Android_Updates/status/925316294471241728,Xiaomi,Xiaomi,0.0,neutral,0.0
925301040345419776,2017-10-31 10:58,And the hunt continues for an Upper Mid-Range phone,https://twitter.com/AshRock22/status/925301040345419776,Xiaomi,Xiaomi,0.0,neutral,0.0
925283583027113984,2017-10-31 09:49,I challenge you to find LTPS And LPDDR3 In xiaomi phones currently sold in less than 12K.,https://twitter.com/RSS_Haters_LIE/status/925283583027113984,Xiaomi,Xiaomi,-0.08333333333333333,neutral,0.2333333333333333
925283079937232896,2017-10-31 09:47,Good competition for xiaomi 4 and other low range chinese phones,https://twitter.com/9923Rakesh/status/925283079937232896,Xiaomi,Xiaomi,0.14375,positive,0.31875000000000003
925274926629634048,2017-10-31 09:15,# Nokia2 LTPS & DDR3. That's what matters. And Pure Android unlike malware miui. Suck it Xiaomi. Nokia 2 is the phone to buy.,https://twitter.com/RSS_Haters_LIE/status/925274926629634048,Xiaomi,Xiaomi,0.21428571428571427,positive,0.5
925265134603395072,2017-10-31 08:36,"Xiaomi Mi MIX 2 review: A phone for performance, pricing and design https://www.pridenews.co.za/2017/10/26/xiaomi-mi-mix-2-review-a-phone-for-performance-pricing-and-design/ …",https://twitter.com/pridenewsza/status/925265134603395072,Xiaomi,Xiaomi,0.0,neutral,0.0
925237743692550144,2017-10-31 06:47,"It is, and will be the king. Which phone packs the features like redmi note 4 and comes in 11000 rupees.",https://twitter.com/n_safiuddin/status/925237743692550144,Xiaomi,Xiaomi,0.0,neutral,0.0
925148155091570693,2017-10-31 00:51,I just bought a Xiaomi phone and love it £136. All else # btc # crypto every time!,https://twitter.com/elvi_214/status/925148155091570693,Xiaomi,Xiaomi,0.625,positive,0.6
925131004616101898,2017-10-30 23:43,"Xiaomi Mi A1 Android One Phone Launched: Price, Specifications, and Everything Else You Need to Know https://goo.gl/BqUqfN # DRUVAAN",https://twitter.com/Druvaan/status/925131004616101898,Xiaomi,Xiaomi,0.0,neutral,0.0
925079327691169794,2017-10-30 20:17,We have another top of the range phone new in stock today its the all new Xiaomi Note 3 Smartphone and this phone has everything !!!! pic.twitter.com/MywiOkgiyF,https://twitter.com/Greengribbit1/status/925079327691169794,Xiaomi,Xiaomi,0.32309422348484845,positive,0.4696969696969697
925051150948290561,2017-10-30 18:25,Bad company! I bought 3 phones from you and the ONLY flagship killer Was the one. My Next phone Will be a Xiaomi,https://twitter.com/kiroga26/status/925051150948290561,Xiaomi,Xiaomi,-0.2916666666666666,negative,0.5555555555555555
